ALA 0.046
ARG 0.291
ASN 0.134
ASP 0.105
CYS 0.128
GLN 0.18
GLU 0.151
GLY 0
HIS 0.23
ILE 0.186
LEU 0.186
LYS 0.219
MET 0.221
PHE 0.29
PRO 0
SER 0.062
THR 0.108
TRP 0.409
TYR 0.298
VAL 0.14
